Nombre;Siglas;Logo_URL;Descripcion;Categoria;Etiquetas;Contactos;Cartera_Servicios;Videos_YouTube;Pais;Comunidad;Provincia;Municipio
Arte y Cultura para Todos;ACT;https://picsum.photos/seed/ACT/200/200;Acceso a la cultura para barrios marginados.;Cultura;#Cultura, #Arte;email:info@act.es|web:https://act.es;Clases de pintura, teatro, música;https://www.youtube.com/watch?v=vXocqzxey-E;;;;
Asociación Española Contra el Cáncer;AECC;https://picsum.photos/seed/AECC/200/200;Ayuda y apoyo a enfermos de cáncer;Ayuda al Paciente;#Cáncer,#Ayuda,#Granada;email:info@aecc.es | web:https://aecc.es | facebook:https://facebook.com/aecc;Apoyo psicológico y social a enfermos y familiares;https://www.youtube.com/watch?v=Ejemplo1;España;Andalucía;Granada;Granada
Asociación Española Contra el Parkinson;AECP;https://picsum.photos/seed/AECP/200/200;aaaaaaaaaaaaaaaaaaaa;Parkinson;#AECP, #España;email:test@test.com;aaaaaaaaaaaaaaaaaaa;https://youtu.be/IZ50S1e49m8, https://www.youtube.com/watch?v=WDFKORgEQGo;;;;
Asociación Granadina de Fibromialgia;AGAF;https://picsum.photos/seed/AGAF/200/200;Apoyo a personas con fibromialgia en Granada;Ayuda al Paciente;#Fibromialgia,#Ayuda;email:agaf@gmail.com | telefono:958123456;Talleres de fisioterapia y apoyo emocional;;España;Andalucía;Granada;
Asociación de Reforestación Urbana;ARU;https://picsum.photos/seed/ARU/200/200;Promoción de zonas verdes en ciudades.;Medio Ambiente;#MedioAmbiente, #Ecología;email:contacto@aru.es|web:https://aru.es;Plantación de árboles, talleres ecológicos;https://www.youtube.com/watch?v=p1r7KkbUBkI;;;;
Banco de Alimentos Solidario;BAS;https://picsum.photos/seed/BAS/200/200;Distribución de alimentos a personas vulnerables.;Asistencia Social;#Solidaridad, #Alimentos;email:info@bas.org|web:https://bas.org;Recogida de alimentos, comedores sociales;https://www.youtube.com/watch?v=DD0vP3-v2aU;;;;
Centro de Integración Tecnológica;CIT;https://picsum.photos/seed/CIT/200/200;Alfabetización digital para adultos.;Tecnología;#Tecnología, #Inclusión;web:https://cit.es;Cursos de informática, préstamo de equipos;https://www.youtube.com/watch?v=bKVISocC_H4;;;;
Cuidadores de Personas Dependientes;CPD;https://picsum.photos/seed/CPD/200/200;Asesoramiento y respiro para cuidadores familiares.;Asistencia Social;#Cuidadores, #Dependencia;email:info@cpd.es|web:https://cpd.es;Apoyo legal, talleres de cuidado, grupos de ayuda;https://www.youtube.com/watch?v=eDx7PHVtmME;;;;
Defensa del Litoral;DDL;https://picsum.photos/seed/DDL/200/200;Limpieza y protección de las costas.;Medio Ambiente;#Playas, #MedioAmbiente;email:costas@ddl.org;Recogida de plásticos, concienciación;https://www.youtube.com/watch?v=p1r7KkbUBkI;;;;
Deportes para la Integración;DPI;https://picsum.photos/seed/DPI/200/200;Equipos deportivos mixtos para personas en riesgo de exclusión.;Deporte;#Deporte, #Integración;web:https://dpi.es;Ligas de fútbol, baloncesto, material deportivo;https://www.youtube.com/watch?v=ExnxIR_Hmgg;;;;
Educación Inclusiva Ya;EIY;https://picsum.photos/seed/EIY/200/200;Apoyo educativo a niños con necesidades especiales.;Educación;#Educación, #Inclusión;email:contacto@eiy.org;Apoyo escolar, logopedia, fisioterapia;https://www.youtube.com/watch?v=ExnxIR_Hmgg;;;;
Fundación Salud Mental Ahora;FSMA;https://picsum.photos/seed/FSMA/200/200;Prevención y tratamiento de problemas de salud mental.;Salud;#SaludMental, #Psicología;email:apoyo@fsma.org;Terapia psicológica, grupos de apoyo;https://www.youtube.com/watch?v=bKVISocC_H4;;;;
Iniciativa de Reciclaje Vecinal;IRV;https://picsum.photos/seed/IRV/200/200;Gestión de residuos y compostaje comunitario.;Medio Ambiente;#Reciclaje, #Compostaje;email:vecinos@irv.org;Talleres de reciclaje, puntos limpios móviles;https://www.youtube.com/watch?v=DD0vP3-v2aU;;;;
Jóvenes por la Ciencia;JPC;https://picsum.photos/seed/JPC/200/200;Fomento de vocaciones científicas en adolescentes.;Educación;#Ciencia, #Educación;email:hola@jpc.es;Talleres STEM, ferias de ciencias;https://www.youtube.com/watch?v=VWHtbakSFZk;;;;
Movilidad Sostenible;MMS;https://picsum.photos/seed/MMS/200/200;Promoción del uso de bicicleta y transporte público.;Sostenibilidad;#Movilidad, #Bicicleta;web:https://mms.es|facebook:https://facebook.com/mms;Rutas ciclistas, talleres de reparación;https://www.youtube.com/watch?v=N20Yj9fxouc;;;;
Médicos Sin Fronteras;MSF;https://picsum.photos/seed/MSF/200/200;Atención médica humanitaria en conflictos.;Ayuda Humanitaria;#Humanitario, #Medicina;web:https://www.msf.org;Cirugía, atención primaria, vacunación;;;;;
Protección del Patrimonio Histórico;PPH;https://picsum.photos/seed/PPH/200/200;Restauración y catalogación de edificios antiguos.;Cultura;#Historia, #Patrimonio;email:historia@pph.es|web:https://pph.es;Rutas guiadas, restauración de fachadas;https://www.youtube.com/watch?v=vXocqzxey-E;;;;
Red de Apoyo a Mayores;RAM;https://picsum.photos/seed/RAM/200/200;Acompañamiento a personas de la tercera edad.;Tercera Edad;#Mayores, #Soledad;email:ayuda@ram.org|tel:900112233;Acompañamiento telefónico, actividades de ocio;https://www.youtube.com/watch?v=uqKokiwU7No;;;;
Red de Huertos Comunitarios;RHC;https://picsum.photos/seed/RHC/200/200;Gestión de terrenos urbanos para cultivo.;Medio Ambiente;#Huerto, #Ecología;email:huertos@rhc.org;Cesión de parcelas, formación agrícola;https://www.youtube.com/watch?v=p1r7KkbUBkI;;;;
